,LoF_pvalue,LoF.Missense_pvalue,fisher_combine_pvalue,LoF_ACAT_pvalue,Missense_ACAT_pvalue
CDHR2,0.5,0.5,0.84657359,0.857142857,0.992481203
SNCB,1,1,1,NA,0.833333333
EIF4E1B,1,1,1,NA,0.961538462
TSPAN17,0.1875,0.1875,0.501370581,0.397367093,0.964285714
UNC5A,1,1,1,NA,0.983333333
HK3,0.894488201,0.894488201,0.994226826,0.9,0.992907801
UIMC1,0.5,0.5,0.84657359,0.5,0.981818182
ZNF346,1,1,1,NA,0.933333333
FGFR4,0.36328125,0.36328125,0.731131834,0.556124454,0.988372093
NSD1,1,0.125,0.384930193,NA,0.992907801
RAB24,1,1,1,NA,0.909090909
PRELID1,1,1,1,NA,0.75
MXD3,1,1,1,1,0.952380952
LMAN2,0.5,0.5,0.84657359,0.5,0.974358974
RGS14,1,1,1,1,0.98
SLC34A1,0.709472656,0.709472656,0.952987313,0.833333333,0.984848485
PFN3,1,1,1,NA,0.857142857
F12,0.321984478,0.321984478,0.686874012,0.884898756,0.96969697
GRK6,1,0.967285156,0.999458937,NA,0.975609756
PRR7,1,0.9375,0.998004864,NA,0.9
DBN1,1,0.5,0.84657359,NA,0.978723404
PDLIM7,1,1,1,NA,0.979591837
DOK3,0.9375,0.9375,0.998004864,0.666666667,0.982142857
DDX41,0.696380615,0.598190308,0.715533202,0.875,0.972972973
FAM193B,1,1,1,NA,0.98
TMED9,1,1,1,NA,0.933333333
B4GALT7,0.089782715,0.089782715,0.306191631,0.262100558,0.971428571
PROP1,0.9375,0.9375,0.998004864,0.9375,0.956521739
N4BP3,1,1,1,NA,0.982142857
RMND5B,0.1620043,0.1620043,0.456873576,0.833333333,0.975609756
NHP2,0.875,0.875,0.991839969,0.875,0.857142857
HNRNPAB,1,1,1,NA,0.95
PHYKPL,0.748277664,0.748277664,0.96526409,0.75,0.98
COL23A1,0.984375,0.984375,0.999877289,0.5,0.981818182
CLK4,0.5,0.5,0.84657359,0.5,0.956521739
ZNF354A,1,1,1,1,0.967741935
ZNF354B,1,1,1,NA,0.956521739
ZFP2,0.270628095,0.270628095,0.624341652,0.514634729,0.972222222
ZNF454,0.75,0.75,0.965761554,0.75,0.962962963
GRM6,0.202436447,0.427767776,0.50518037,0.857142857,0.992125984
ZNF879,0.890625,0.890625,0.993787711,0.75,0.972222222
ZNF354C,1,1,1,NA,0.965517241
ADAMTS2,0.9375,0.9375,0.998004864,0.5,0.98989899
RUFY1,1,1,1,NA,0.972972973
HNRNPH1,1,1,1,NA,0.75
CANX,1,1,1,NA,0.961538462
MAML1,1,0.36328125,0.731131834,NA,0.984848485
LTC4S,0.6875,0.6875,0.945101746,0.75,0.888888889
MGAT4B,1,1,1,1,0.977777778
SQSTM1,1,1,1,NA,0.980392157
TBC1D9B,0.75,0.75,0.965761554,0.5,0.991304348
RNF130,1,1,1,NA,0.966666667
RASGEF1C,1,1,1,1,0.965517241
NDUFS6,1,1,1,NA,0.941176471
MAPK9,0.75,0.75,0.965761554,0.5,0.947368421
GFPT2,0.376953125,0.376953125,0.744721575,0.5,0.979166667
CNOT6,0.109375,0.109375,0.351418915,0.109375,0.954545455
SCGB3A1,1,1,1,NA,0.8
FLT4,1,1,1,NA,0.991150442
MGAT1,1,0.25,0.59657359,NA,0.967741935
ZFP62,0.150878906,0.150878906,0.436232818,0.5,NA
BTNL8,1,1,1,NA,0.971428571
BTNL3,1,1,1,NA,0.964285714
BTNL9,0.048126221,0.048126221,0.194137715,0.75,0.980769231
OR2V1,0.5,0.5,0.84657359,0.5,0.947368421
OR2V2,1,1,1,NA,0.954545455
TRIM7,0.25,0.401809692,0.436809682,0.5,0.975
TRIM41,1,1,1,NA,0.985915493
TRIM52,0.875,0.875,0.991839969,0.875,0.958333333
IRX4,1,1,1,NA,0.976744186
LRRC14B,0.866577148,0.866577148,0.990674583,0.8,0.976190476
CDH18,1,1,1,NA,0.983870968
CCDC127,1,1,1,NA,0.958333333
CDH12,1,1,1,NA,0.984375
SDHA,0.5,0.5,0.84657359,0.5,0.888888889
PRDM9,0.5,0.5,0.84657359,0.666666667,0.933333333
CDH10,1,1,1,NA,0.972972973
CDH9,1,1,1,NA,0.972972973
PDCD6,1,1,1,1,0.941176471
IRX2,1,0.867534552,0.990811159,NA,0.962962963
C5orf38,1,1,1,NA,0.809926676
CDH6,1,1,1,NA,0.964285714
DROSHA,0.75,0.96875,0.965761554,0.75,0.981481481
C5orf22,1,1,1,NA,0.962962963
PDZD2,1,0.5,0.84657359,NA,0.996031746
GOLPH3,1,1,1,NA,0.916666667
MTMR12,1,1,1,0.5,0.967741935
ZFR,1,1,1,NA,0.967741935
SUB1,1,1,1,NA,0.5
NPR3,0.25,0.25,0.59657359,0.25,NA
TARS,0.1875,0.1875,0.501370581,0.57797913,0.985714286
ADAMTS12,0.261733532,0.261733532,0.612568577,0.8,0.990384615
RXFP3,0.714205906,0.714205906,0.954596168,0.66990105,0.971428571
SLC45A2,0.083534241,0.083534241,0.290907882,0.833333333,0.984375
AMACR,0.65625,0.915681228,0.915620648,0.65625,0.962962963
C1QTNF3,0.5,0.5,0.84657359,0.647583618,0.933333333
AHRR,0.5,0.5,0.84657359,0.5,0.984375
RAI14,1,1,1,NA,0.985507246
TTC23L,0.74609375,0.74609375,0.964627606,0.75,0.952380952
RAD1,0.654981017,0.654981017,0.932135596,0.828743916,0.933333333
BRIX1,1,1,1,NA,0.962962963
DNAJC21,0.5,0.5,0.84657359,0.715694166,0.983333333
AGXT2,0.290527344,0.290527344,0.649635869,0.8,0.976744186
PRLR,0.5,0.5,0.84657359,0.5,0.972222222
SPEF2,0.25390625,0.25390625,0.601958443,0.8,0.993710692
IL7R,1,1,1,1,0.980392157
CAPSL,0.5,0.5,0.84657359,0.647583618,0.965517241
UGT3A1,0.202436447,0.202436447,0.525794112,0.75,0.973684211
IRX1,0.75,0.75,0.965761554,0.75,NA
UGT3A2,0.709472656,0.709472656,0.952987313,0.8,0.976744186
LMBRD2,0.3125,0.3125,0.675984628,0.75,0.967741935
SKP2,1,1,1,NA,0.923076923
NADK2,1,0.8125,0.981206984,NA,0.954545455
RANBP3L,0.8125,0.8125,0.981206984,0.666666667,0.964285714
SLC1A3,1,1,1,NA,0.974358974
NIPBL,1,0.5,0.84657359,NA,0.987804878
NUP155,0.5,0.5,0.84657359,0.647583618,0.987341772
WDR70,0.5,0.3125,0.59657359,0.647583618,0.956521739
GDNF,1,1,1,NA,0.941176471
EGFLAM,0.395263672,0.395263672,0.762148287,0.857142857,0.990654206
LIFR,0.875,0.875,0.991839969,0.666666667,0.987804878
OSMR,0.6875,0.6875,0.945101746,0.666666667,0.985714286
RICTOR,1,0.890625,0.993787711,NA,0.984848485
C9,0.948097322,0.948097322,0.998629128,0.909090909,0.979591837
DAB2,1,1,1,1,0.983606557
PTGER4,1,1,1,NA,0.96
TTC33,0.890625,0.890625,0.993787711,0.666666667,0.933333333
PRKAA1,1,0.5,0.84657359,NA,0.965517241
RPL37,1,1,1,NA,0.666666667
CARD6,1,1,1,NA,0.987654321
C7,0.971193664,0.971193664,0.999581055,0.8,0.988505747
MROH2B,0.678015522,0.678015522,0.94148225,0.928571429,0.9921875
C6,0.053876072,0.053876072,0.211251787,0.875,0.987951807
PLCXD3,1,1,1,NA,0.941176471
OXCT1,1,1,1,NA,0.952380952
C5orf51,0.6875,0.6875,0.945101746,0.666666667,0.95
FBXO4,0.5,0.5,0.84657359,0.5,0.952380952
GHR,0.833847046,0.833847046,0.985361467,0.833333333,0.981132075
ZNF131,1,1,1,NA,0.961538462
NIM1K,0.202436447,0.202436447,0.525794112,0.353789797,0.976190476
HMGCS1,1,0.032714844,0.1445972,NA,0.9375
CCL28,1,1,1,NA,0.928571429
C5orf34,0.960823059,0.960823059,0.999222361,0.666666667,0.982758621
PAIP1,1,1,1,NA,0.909090909
NNT,0.5,0.5,0.84657359,0.5,0.980769231
FGF10,1,1,1,NA,0.928571429
EXOC3,1,1,1,NA,0.980392157
MRPS30,0.6875,0.6875,0.945101746,0.5,0.976190476
HCN1,1,0.42527701,0.788895034,NA,0.95
SLC9A3,1,0.401809692,0.5408092,1,0.987179487
EMB,1,1,1,NA,0.909090909
PARP8,1,1,1,NA,0.975609756
ISL1,1,0.8125,0.981206984,NA,0.952380952
ADAMTS16,1,1,1,NA,0.9921875
ITGA1,0.9375,0.9375,0.998004864,0.666666667,0.988235294
PELO,1,1,1,NA,0.944444444
ITGA2,0.240341187,0.240341187,0.582994596,0.875,0.984375
MOCS2,0.25,0.25,0.59657359,0.5,0.941176471
FST,1,1,1,NA,0.875
NDUFS4,0.890625,0.890625,0.993787711,0.898016962,0.941176471
ARL15,1,1,1,NA,0.933333333
HSPB3,0.967285156,0.967285156,0.999458937,0.666666667,0.9
ESM1,1,1,1,NA,0.916666667
GZMK,1,1,1,NA,0.96
GZMA,0.5,0.5,0.84657359,0.5,0.958333333
CDC20B,0.5,0.5,0.84657359,0.75,0.973684211
GPX8,1,1,1,1,0.875
CCNO,0.88671875,0.88671875,0.993326664,0.8,0.944444444
DHX29,1,1,1,0.5,0.987012987
SLC38A9,0.5,0.5,0.84657359,0.5,0.976744186
DDX4,0.5,0.725585938,0.84657359,0.5,0.979591837
IL31RA,0.376953125,0.376953125,0.744721575,0.75,0.982142857
IL6ST,1,1,1,NA,0.98
ANKRD55,0.890625,0.890625,0.993787711,0.666666667,0.976190476
MAP3K1,1,0.982421875,0.999844591,NA,0.983870968
SETD9,0.994091034,0.994091034,0.999982508,0.75,0.952380952
MIER3,1,1,1,NA,0.96875
GPBP1,1,1,1,NA,0.96
ACTBL2,0.285794094,0.285794094,0.643746532,0.519556127,0.96875
PLK2,1,0.9375,0.998004864,NA,0.954545455
GAPT,1,1,1,NA,0.933333333
RAB3C,1,1,1,NA,0.941176471
PDE4D,0.5,0.5,0.74281097,0.5,0.96969697
DEPDC1B,0.890625,0.890625,0.993787711,0.5,0.977272727
ELOVL7,0.5,0.5,0.84657359,0.5,0.961538462
ERCC8,0.5,0.5,0.84657359,0.8,0.96875
NDUFAF2,1,1,1,NA,0.75
SMIM15,1,1,1,1,0.875
CEP72,0.6875,0.6875,0.945101746,0.75,0.9875
ZSWIM6,1,1,1,NA,0.977272727
KIF2A,1,0.25390625,0.601958443,NA,0.941176471
DIMT1,0.866577148,0.866577148,0.990674583,0.8,0.954545455
IPO11,0.75,0.75,0.965761554,0.75,0.982758621
MED10,1,1,1,NA,0.857142857
HTR1A,1,1,1,NA,0.956521739
RNF180,1,1,1,1,0.975609756
RGS7BP,1,1,1,NA,0.875
SREK1IP1,0.5,0.5,0.84657359,0.5,0.5
CWC27,0.125,0.125,0.384930193,0.352416382,0.966666667
ADAMTS6,1,1,1,NA,0.981818182
CENPK,0.5,0.5,0.84657359,0.75,0.954545455
PPWD1,1,1,1,NA,0.976190476
TRIM23,1,1,1,NA,0.947368421
TRAPPC13,1,1,1,NA,0.933333333
SGTB,0.5,0.5,0.84657359,0.5,0.941176471
NLN,0.2265625,0.2265625,0.562947645,0.8,0.98
NSUN2,0.5,0.36328125,0.59657359,0.647583618,0.982142857
SREK1,1,0.5,0.84657359,NA,0.96969697
SRD5A1,0.5,0.5,0.84657359,0.5,0.928571429
TPPP,1,1,1,NA,0.95
MAST4,1,1,1,NA,0.993630573
CD180,0.5,0.5,0.84657359,0.5,0.984375
PIK3R1,1,0.6875,0.945101746,NA,0.962962963
SLC30A5,1,1,1,NA,0.973684211
CCNB1,1,1,1,NA,0.956521739
CENPH,1,1,1,NA,0.888888889
MRPS36,1,1,1,NA,0.75
CDK7,1,1,1,NA,0.888888889
CCDC125,1,1,1,1,0.971428571
TAF9,0.5,0.5,0.84657359,0.5,0.888888889
RAD17,1,1,1,NA,0.972972973
MARVELD2,0.290527344,0.290527344,0.649635869,0.8,0.981481481
OCLN,1,0.973760605,0.999652696,NA,0.962962963
GTF2H2C,1,0.5,0.84657359,NA,0.5
NAIP,0.96875,0.96875,0.999506551,0.5,0.916666667
GTF2H2,1,1,1,0.5,0.5
BDP1,0.125,0.125,0.384930193,0.352416382,0.994475138
MCCC2,0.65625,0.65625,0.932671336,0.666666667,0.96969697
CARTPT,1,1,1,NA,0.417070724
MAP1B,1,1,1,NA,0.992537313
MRPS27,1,1,1,1,0.965517241
PTCD2,1,1,1,0.5,0.958333333
ZNF366,1,0.376953125,0.744721575,NA,0.985915493
TNPO1,1,0.5,0.84657359,NA,0.941176471
FCHO2,1,1,1,NA,0.973684211
ZDHHC11B,1,1,1,NA,0.916666667
TMEM171,0.709472656,0.709472656,0.952987313,0.666666667,0.967741935
TMEM174,1,1,1,NA,0.966666667
BTF3,1,1,1,NA,0.833333333
ANKRA2,0.63671875,0.63671875,0.92415094,0.5,0.833333333
UTP15,1,1,1,NA,0.973684211
ARHGEF28,0.34375,0.34375,0.710820217,0.75,0.993506494
ADCY2,1,0.65625,0.932671336,NA,0.978723404
ENC1,1,0.75,0.84657359,1,0.888888889
HEXB,0.63671875,0.63671875,0.92415094,0.75,0.976190476
GFM2,0.5,0.5,0.84657359,0.715694166,0.983606557
NSA2,0.5,0.5,0.84657359,0.5,0.670288207
FAM169A,1,1,1,NA,0.966666667
GCNT4,1,1,1,1,0.956521739
ANKRD31,0.63671875,0.63671875,0.92415094,0.788429655,NA
HMGCR,1,0.6875,0.84657359,1,0.962962963
COL4A3BP,1,0.936826462,0.997961152,NA,0.967741935
POLK,0.360050066,0.360050066,0.727845596,0.75,0.983606557
ANKDD1B,1,1,1,1,NA
POC5,1,1,1,NA,0.978723404
SV2C,0.875,0.875,0.991839969,0.5,0.984126984
IQGAP2,0.577490509,0.577490509,0.894569337,0.857142857,0.99009901
F2RL2,1,1,1,NA,0.954545455
F2R,1,1,1,NA,0.95
F2RL1,0.166152954,0.166152954,0.464372003,0.5,0.96875
S100Z,0.038406372,0.038406372,0.163593167,0.038406372,0.666666667
CRHBP,1,1,1,NA,0.928571429
AGGF1,0.5,0.5,0.84657359,0.8,0.971428571
ZBED3,1,0.5,0.84657359,NA,0.386384186
PDE8B,1,0.77087084,0.971477983,NA,0.967741935
WDR41,0.894980192,0.894980192,0.994281549,0.875,0.973684211
OTP,1,0.75,0.965761554,NA,0.9375
TBCA,1,1,1,NA,0.8
AP3B1,0.5,0.5,0.84657359,0.5,0.983870968
C5orf49,1,1,1,NA,0.9
SCAMP1,1,1,1,NA,0.888888889
LHFPL2,1,1,1,NA,0.928571429
FASTKD3,0.88671875,0.88671875,0.993326664,0.666666667,0.976190476
MTRR,0.65625,0.65625,0.932671336,0.5,0.984615385
ARSB,0.9375,0.9375,0.998004864,0.5,0.977777778
DMGDH,0.010635376,0.010635376,0.058957946,0.169893873,0.982758621
BHMT2,0.248308718,0.248308718,0.594223241,0.857142857,0.962962963
BHMT,0.026119493,0.026119493,0.121326962,0.026119493,0.956521739
JMY,1,1,1,NA,NA
HOMER1,0.5,0.25,0.59657359,0.5,0.888888889
CMYA5,0.03125,0.03125,0.139554247,0.42202087,0.996478873
MTX3,0.5,0.5,0.84657359,0.5,0.95
THBS4,0.686448715,0.686448715,0.944707033,0.909090909,0.988235294
SERINC5,1,1,1,NA,0.952380952
ZFYVE16,1,1,1,1,0.98989899
FAM151B,0.25,0.25,0.59657359,0.25,0.952380952
ANKRD34B,0.5,0.5,0.84657359,0.5,0.975
DHFR,1,1,1,NA,0.666666667
MSH3,0.980712891,0.980712891,0.999812796,0.9,0.989010989
RASGRF2,1,0.612792969,0.84657359,1,0.983050847
CKMT2,0.072998047,0.072998047,0.264057484,0.301417757,0.952380952
ZCCHC9,0.75,0.75,0.965761554,0.5,0.95
ACOT12,0.685470581,0.685470581,0.944338338,0.9,0.981481481
SSBP2,1,0.34375,0.710820217,NA,0.802893888
ZDHHC11,0.125,0.125,0.384930193,0.125,0.958333333
ATG10,1,1,1,NA,0.9375
RPS23,1,1,1,NA,NA
ATP6AP1L,0.75,0.75,0.965761554,0.5,0.96
TMEM167A,1,1,1,NA,0.5
XRCC4,0.778965831,0.778965831,0.973542223,0.749172867,0.947368421
VCAN,1,1,1,NA,0.99609375
HAPLN1,1,1,1,NA,0.941176471
EDIL3,1,1,1,NA,0.96875
BRD9,1,1,1,NA,0.971428571
COX7C,1,1,1,NA,0.5
RASA1,1,0.6875,0.945101746,NA,0.980392157
CCNH,1,1,1,1,0.961538462
TMEM161B,1,1,1,1,0.8
MEF2C,1,0.875,0.991839969,NA,0.888888889
TRIP13,1,1,1,NA,0.952380952
CETN3,0.013301849,0.013301849,0.070763873,0.013301849,0.803310773
SEMA5A,1,1,1,NA,0.987179487
MBLAC2,0.709472656,0.709472656,0.952987313,0.75,0.923076923
POLR3G,0.75,0.75,0.965761554,0.5,0.928571429
LYSMD3,0.5,0.5,0.84657359,0.602632907,0.96875
ARRDC3,1,1,1,NA,0.916666667
NR2F1,1,1,1,NA,NA
FAM172A,0.8125,0.65625,0.772194534,0.666666667,0.958333333
POU5F2,1,1,1,NA,0.923076923
KIAA0825,0.984375,0.984375,0.999877289,0.75,0.909090909
MCTP1,0.75,0.75,0.965761554,0.5,0.98
FAM81B,0.797563553,0.797563553,0.97796745,0.8,0.97826087
TTC37,0.623046875,0.623046875,0.917831237,0.857142857,0.99122807
ARSK,1,1,1,NA,0.97826087
GPR150,0.5,0.5,0.84657359,0.666666667,NA
RFESD,1,1,1,NA,0.790497145
SPATA9,0.211975098,0.211975098,0.5408092,0.688502881,0.947368421
RHOBTB3,1,1,1,1,0.96875
GLRX,1,1,1,NA,0.8
ELL2,1,1,1,NA,0.954545455
PCSK1,1,1,1,NA,0.978723404
CAST,1,1,1,1,0.986666667
ERAP1,0.850134152,0.850134152,0.988162882,0.923076923,0.984375
ERAP2,0.407264709,0.407264709,0.773107304,0.857142857,0.988372093
LNPEP,1,1,1,NA,0.984126984
LIX1,0.676197052,0.676197052,0.940773179,0.5,0.96
RIOK2,0.9375,0.9375,0.998004864,0.5,0.972222222
RGMB,1,1,1,NA,0.967741935
CHD1,1,0.75,0.965761554,NA,0.981132075
SIM1,1,0.65625,0.932671336,NA,0.979166667
ASCC3,0.778965831,0.778965831,0.973542223,0.9,0.991452991
GRIK2,0.5,0.968042672,0.84048668,0.5,0.974358974
TFAP2A,1,0.890625,0.993787711,NA,0.9375
HACE1,0.5,0.1875,0.446296561,0.5,0.958333333
LIN28B,1,1,1,NA,0.875
BVES,1,1,1,0.5,0.964285714
POPDC3,0.3125,0.3125,0.675984628,0.666666667,0.909090909
PREP,0.5,0.5,0.84657359,0.728452929,0.973684211
GCNT2,0.323802948,0.323802948,0.688929671,0.623323561,0.979166667
PRDM1,1,1,1,NA,0.982758621
ATG5,1,1,1,NA,0.888888889
RTN4IP1,0.74609375,0.74609375,0.964627606,0.666666667,0.962962963
QRSL1,1,1,1,NA,0.965517241
C6orf52,0.14453125,0.14453125,0.424092198,0.14453125,NA
PAK1IP1,1,1,1,NA,0.954545455
C6orf203,0.25,0.25,0.59657359,0.25,0.952380952
BEND3,1,1,1,NA,0.97826087
PDSS2,0.2265625,0.2265625,0.562947645,0.5,0.947368421
TMEM14C,1,1,1,NA,0.909090909
TMEM14B,0.75,0.75,0.965761554,0.5,0.857142857
SOBP,0.5,0.5,0.84657359,0.5,NA
MAK,0.875,0.875,0.991839969,0.5,0.977777778
SCML4,1,1,1,NA,0.973684211
SEC63,0.5,0.5,0.84657359,0.5,0.941176471
OSTM1,1,1,1,NA,0.944444444
NR2E1,1,1,1,NA,0.916666667
SNX3,1,1,1,NA,0.8
GCM2,1,1,1,1,0.970588235
ARMC2,0.75,0.75,0.965761554,0.5,0.984848485
SYCP2L,1,1,1,NA,0.984375
SESN1,0.5,0.5,0.84657359,0.647583618,0.972222222
CEP57L1,0.25390625,0.25390625,0.601958443,0.474703523,0.941176471
CD164,1,1,1,NA,0.958333333
PPIL6,0.75,0.75,0.965761554,0.75,0.956521739
SMPD2,0.5,0.5,0.84657359,0.5,0.967741935
MICAL1,0.889835753,0.889835753,0.993695941,0.875,0.991803279
ZBTB24,0.75,0.75,0.965761554,0.5,0.976744186
AK9,0.0546875,0.0546875,0.213615944,0.457712967,0.990990991
FIG4,0.828125,0.828125,0.984302062,0.833333333,0.981132075
ELOVL2,0.2265625,0.2265625,0.562947645,0.833333333,0.954545455
GPR6,1,0.7734375,0.972141648,NA,0.95
WASF1,1,1,1,NA,0.96
CDC40,1,0.9375,0.998004864,NA,0.941176471
METTL24,0.643884559,0.643884559,0.927345609,0.547542217,0.961538462
DDO,1,1,1,1,0.96875
SLC22A16,1,1,1,0.5,0.983870968
CDK19,1,1,1,NA,0.923076923
AMD1,1,1,1,NA,0.888888889
GTF3C6,1,1,1,NA,0.875
RPF2,1,1,1,NA,0.944444444
ERVFRD-1,1,1,1,1,0.971428571
SLC16A10,1,1,1,NA,0.947368421
REV3L,1,0.211975098,0.40216741,1,0.994974874
TRAF3IP2,1,0.572232224,0.891658194,NA,0.976744186
FYN,1,0.5,0.84657359,NA,0.916666667
NEDD9,1,1,1,NA,0.984615385
WISP3,0.0078125,0.0078125,0.045718986,0.0078125,0.944444444
TUBE1,1,1,1,NA,0.96969697
FAM229B,1,1,1,NA,0.875
LAMA4,0.9375,0.9375,0.998004864,0.916425589,0.993243243
HDAC2,1,0.5,0.84657359,NA,0.56684245
HS3ST5,1,1,1,NA,0.952380952
TMEM170B,1,1,1,NA,0.857142857
FRK,0.828125,0.828125,0.984302062,0.75,0.976744186
NT5DC1,1,1,1,NA,0.952380952
COL10A1,1,1,1,NA,0.98245614
TSPYL4,1,1,1,0.5,0.954545455
TSPYL1,1,1,1,1,0.958333333
DSE,1,1,1,NA,0.978723404
TRAPPC3L,0.395263672,0.395263672,0.762148287,0.402859296,NA
RWDD1,1,1,1,NA,0.923076923
RSPH4A,0.820358276,0.820358276,0.982800792,0.833333333,0.983333333
KPNA5,1,1,1,NA,0.96
FAM162B,0.094623566,0.094623566,0.317731619,0.106324765,0.947368421
GPRC6A,0.171875,0.171875,0.47454478,0.443875546,0.985507246
RFX6,1,1,1,NA,0.98245614
ADTRP,0.5,0.5,0.84657359,0.5,0.884619907
VGLL2,1,1,1,NA,0.952380952
ROS1,0.442716749,0.442716749,0.803453471,0.933333333,0.995348837
DCBLD1,0.5,0.5,0.84657359,0.666666667,0.961538462
GOPC,1,1,1,1,0.96
NUS1,1,1,1,NA,0.666666667
SLC35F1,1,1,1,1,0.944444444
CEP85L,0.75,0.75,0.965761554,0.75,0.98
PLN,0.75,0.75,0.965761554,0.75,0.397583618
MCM9,0.5,0.5,0.84657359,0.5,0.983050847
ASF1A,1,1,1,NA,0.75
FAM184A,0.788024902,0.788024902,0.975752598,0.875,0.987179487
MAN1A1,0.25,0.25,0.59657359,0.5,0.96875
TBC1D32,0.5,0.419409871,0.59657359,0.888888889,0.99
HIVEP1,1,1,1,NA,0.995283019
GJA1,1,1,1,NA,0.75
HSF2,0.25,0.6875,0.59657359,0.25,0.9375
SERINC1,1,1,1,NA,0.966666667
PKIB,1,1,1,NA,0.888888889
FABP7,1,1,1,1,0.888888889
SMPDL3A,0.562685344,0.562685344,0.886248941,0.857142857,0.962962963
EDN1,0.125,0.125,0.384930193,0.125,0.954545455
CLVS2,1,1,1,NA,0.909090909
TRDN,0.74609375,0.74609375,0.964627606,0.5,0.981818182
NKAIN2,1,1,1,NA,0.923076923
RNF217,1,1,1,NA,0.923076923
TPD52L1,0.65625,0.65625,0.932671336,0.704486749,0.933333333
HDDC2,1,1,1,1,0.9375
HEY2,1,1,1,NA,0.966666667
NCOA7,1,1,1,NA,0.986666667
HINT3,0.6875,0.6875,0.945101746,0.6875,0.857142857
TRMT11,0.11328125,0.11328125,0.359994402,0.47045123,0.972972973
CENPW,1,1,1,NA,0.5
RSPO3,1,1,1,NA,0.923076923
PHACTR1,1,1,1,NA,NA
RNF146,1,1,1,NA,0.933333333
ECHDC1,0.395263672,0.395263672,0.762148287,0.76366814,0.954545455
KIAA0408,0.5,0.5,0.84657359,0.5,0.979591837
C6orf58,1,1,1,NA,0.967741935
THEMIS,0.5,0.5,0.84657359,0.75,0.987012987
PTPRK,0.01953125,0.01953125,0.096401163,0.069475136,0.987012987
LAMA2,0.756574879,0.756574879,0.967624294,0.909090909,0.996453901
ARHGAP18,0.5,0.5,0.84657359,0.715694166,0.976190476
TMEM244,0.25,0.25,0.59657359,0.25,0.9
L3MBTL3,1,1,1,NA,0.981481481
SAMD3,0.812924144,0.812924144,0.981294942,0.888888889,0.977272727
TMEM200A,1,1,1,NA,0.973684211
SMLR1,1,1,1,NA,NA
EPB41L2,1,1,1,NA,0.988888889
AKAP7,1,1,1,1,0.96969697
ARG1,0.75,0.75,0.965761554,0.75,0.954545455
MED23,0.984375,0.940765381,0.961121461,0.666666667,0.976190476
ENPP3,0.906270066,0.906270066,0.995463291,0.916666667,0.984126984
ENPP1,1,1,1,NA,0.979166667
CTGF,0.875,0.875,0.991839969,0.875,0.952380952
MOXD1,0.2265625,0.2265625,0.562947645,0.75,0.983606557
STX7,1,1,1,NA,0.916666667
TAAR8,1,1,1,NA,0.964285714
TAAR6,1,1,1,NA,0.96969697
TAAR5,0.98046875,0.98046875,0.999808011,0.75,0.962962963
TAAR2,0.980712891,0.980712891,0.999812796,0.666666667,0.952380952
TAAR1,1,1,1,NA,0.962962963
VNN1,0.65625,0.65625,0.932671336,0.666666667,0.979166667
VNN3,0.5,0.5,0.84657359,0.5,0.941176471
VNN2,0.066249082,0.066249082,0.246071196,0.296073446,0.971428571
SLC18B1,0.65625,0.65625,0.932671336,0.5,0.980392157
RPS12,1,1,1,NA,0.875
TBC1D7,1,1,1,1,0.961538462
EYA4,1,0.75,0.965761554,NA,0.972972973
GFOD1,1,0.9375,0.998004864,NA,0.928571429
TCF21,1,1,1,NA,0.923076923
TBPL1,1,1,1,NA,0.6875
SLC2A12,1,1,1,NA,0.96875
SGK1,1,1,1,NA,0.967741935
ALDH8A1,0.125,0.125,0.384930193,0.125,0.98
HBS1L,0.3125,0.3125,0.675984628,0.5,0.980769231
MYB,1,0.9375,0.998004864,NA,0.971428571
AHI1,0.65625,0.65625,0.932671336,0.666666667,0.989795918
SIRT5,0.401809692,0.401809692,0.76817041,0.666666667,0.975
PDE7B,0.5,0.5,0.84657359,0.5,0.964285714
NOL7,0.875,0.875,0.991839969,0.5,0.933333333
RANBP9,1,0.25390625,0.601958443,NA,0.96969697
MTFR2,0.65625,0.65625,0.932671336,0.666666667,0.962962963
MAP7,1,1,1,0.5,0.984615385
MAP3K5,1,1,1,NA,0.979591837
PEX7,0.105511799,0.105511799,0.342800712,0.396123748,0.928571429
SLC35D3,1,1,1,NA,0.967741935
IL20RA,1,1,1,NA,0.975609756
IL22RA2,0.856860638,0.856860638,0.98922846,0.857142857,0.965517241
IFNGR1,1,1,1,NA,0.975609756
OLIG3,1,1,1,NA,0.916666667
TNFAIP3,1,1,1,NA,0.985294118
MCUR1,0.5,0.5,0.84657359,0.5,0.9375
PERP,1,1,1,NA,0.916666667
HEBP2,0.5,0.5,0.84657359,0.5,0.95
NHSL1,0.83888184,0.83888184,0.986261146,0.83888184,NA
CCDC28A,0.2265625,0.2265625,0.562947645,0.75,0.952380952
ECT2L,0.417923067,0.417923067,0.782543354,0.928571429,0.984848485
REPS1,0.5,0.5,0.84657359,0.5,0.978723404
ABRACL,1,1,1,NA,0.601663831
HECA,1,1,1,NA,0.944444444
TXLNB,0.5,0.5,0.84657359,0.75,0.983050847
CITED2,1,1,1,NA,0.944444444
RNF182,0.34375,0.34375,0.710820217,0.34375,0.941176471
CD83,1,1,1,1,0.9375
NMBR,0.043579277,0.043579277,0.180120713,0.117892969,0.977272727
GJE1,0.25,0.25,0.59657359,0.5,NA
